Product_ID,Forecast_Month,Forecast_Qty_Sold,Forecast_Weeks,Demand_Class
TE001,2025-01,305.5866687195114,4,Smooth
TE001,2025-02,306.6506022962881,4,Smooth
TE001,2025-03,306.98101055001666,4,Smooth
TE002,2025-01,198.89079332175115,4,Smooth
TE002,2025-02,201.5417176109236,4,Smooth
TE002,2025-03,203.94971814938287,4,Smooth
TE003,2025-01,236.18531014518948,4,Smooth
TE003,2025-02,235.8353263197023,4,Smooth
TE003,2025-03,235.96165690640203,4,Smooth
TE004,2025-01,432.4287446258347,4,Smooth
TE004,2025-02,445.7864022036864,4,Smooth
TE004,2025-03,465.1135495450743,4,Smooth
TE005,2025-01,402.4661658441185,4,Smooth
TE005,2025-02,404.59416198064014,4,Smooth
TE005,2025-03,405.67189550109424,4,Smooth
TE006,2025-01,509.1202095845118,4,Smooth
TE006,2025-02,518.9128459613164,4,Smooth
TE006,2025-03,524.1199340039045,4,Smooth
TE007,2025-01,190.29491711415218,4,Smooth
TE007,2025-02,192.86449353544054,4,Smooth
TE007,2025-03,190.89183335925543,4,Smooth
TE008,2025-01,375.919097069454,4,Smooth
TE008,2025-02,377.66959399593065,4,Smooth
TE008,2025-03,378.0970481273485,4,Smooth
TE009,2025-01,506.4441280603951,4,Smooth
TE009,2025-02,519.5930940501071,4,Smooth
TE009,2025-03,523.9433982896187,4,Smooth
TE010,2025-01,286.4695546388392,4,Smooth
TE010,2025-02,287.2571923254165,4,Smooth
TE010,2025-03,287.23631925426304,4,Smooth
TE011,2025-01,314.3307735707282,4,Smooth
TE011,2025-02,315.1118288953952,4,Smooth
TE011,2025-03,315.381141817664,4,Smooth
TE012,2025-01,114.71763593780747,4,Smooth
TE012,2025-02,115.13320842566876,4,Smooth
TE012,2025-03,115.20478841148761,4,Smooth
TE013,2025-01,199.84072459472176,4,Smooth
TE013,2025-02,197.89532078505565,4,Smooth
TE013,2025-03,202.2897772123381,4,Smooth
TE014,2025-01,119.40361241127864,4,Smooth
TE014,2025-02,119.43122578342499,4,Smooth
TE014,2025-03,120.38173317076235,4,Smooth
TE015,2025-01,507.23214847902494,4,Smooth
TE015,2025-02,520.2533578660783,4,Smooth
TE015,2025-03,524.8075530515235,4,Smooth
TE016,2025-01,138.97489895316147,4,Smooth
TE016,2025-02,138.95267673093926,4,Smooth
TE016,2025-03,138.95267673093926,4,Smooth
TE017,2025-01,291.64351035585497,4,Smooth
TE017,2025-02,292.5360628815774,4,Smooth
TE017,2025-03,292.96397463698645,4,Smooth
TE018,2025-01,291.1797444915371,4,Smooth
TE018,2025-02,291.9858505886881,4,Smooth
TE018,2025-03,292.2093357654936,4,Smooth
TE019,2025-01,379.31411730713614,4,Smooth
TE019,2025-02,380.8104306184272,4,Smooth
TE019,2025-03,381.22830207516586,4,Smooth
TE020,2025-01,138.8595282821658,4,Smooth
TE020,2025-02,138.8373060599436,4,Smooth
TE020,2025-03,138.8373060599436,4,Smooth
TE021,2025-01,505.2625027865762,4,Smooth
TE021,2025-02,519.177522943286,4,Smooth
TE021,2025-03,523.4359816229521,4,Smooth
TE022,2025-01,189.88862172408207,4,Smooth
TE022,2025-02,191.37204864984184,4,Smooth
TE022,2025-03,193.02358641237555,4,Smooth
TE023,2025-01,435.0882742431809,4,Smooth
TE023,2025-02,448.07486728870316,4,Smooth
TE023,2025-03,468.904800169986,4,Smooth
TE024,2025-01,264.7613394701455,4,Smooth
TE024,2025-02,264.68631230965167,4,Smooth
TE024,2025-03,264.7169719494195,4,Smooth
TE025,2025-01,143.65182405175298,4,Smooth
TE025,2025-02,143.674518068847,4,Smooth
TE025,2025-03,143.674518068847,4,Smooth
